recordType,name,discipline,rank,range,duration,isRitual,isPowerWord,description
spells,Lightbringer,Awareness,1,Short,One stretch per power level,false,false,"You summon a bright light that dispels all shadows within Short range, i.e., in the same zone as you."
spells,True Sight,Awareness,1,Extreme,Round,false,false,"You can enhance your vision to be unnaturally sharp and see details at Extreme range as if you stood right next to the object in question. True Sight also lets you see in darkness, through smoke and fog, and automatically see through any kind of disguise or shapeshift. You must have a clear line of sight to whatever you want to look at."
spells,Words on the Wind,Awareness,1,Extreme,One stretch per power level,false,false,"You can enhance your hearing magically and hear specific sounds up to Extreme range as clearly as if you stood right where they emanate from. You must see the place to which you direct your hearing."
spells,Farsight,Awareness,2,Varies,Stretch,false,false,"You can let your inner eye wander across vast distances, over oceans and land, mountains and valleys, and see what is happening there right now. Farsight does not help you find a place — you must know where it is located to be able to see it. Power level 1 lets you view a place at Long range. Power level 2 reaches about 10 kilometers. Further away requires power level 3. Viewing a location that you haven't been to before increases the required power level by two."
spells,True Path,Awareness,2,Personal,Immediate,false,false,"This spell can guide you to the right path when you face a difficult decision. Once you have cast the spell, the GM must tell you which decision or choice she believes is the wisest."
spells,Visions of the Past,Awareness,2,Medium,Stretch,false,false,"You can see events that have transpired in the past at the location where you are, even if those events are no longer remembered by any living being. Power level 1 lets you see one day back in time, power level 2 one year into the past, and power level 3 lets you see hundreds of years back. Your visions are often fragmented and cryptic — the GM decides exactly what you can see."
spells,Divination,Awareness,3,Short,Stretch,true,false,"Performing a ritual, you can see visions of the future. You ask the GM questions about yourself or someone else present. The GM answers as best she can. The answer must be brief, and is often ambiguous and cryptic. The answer can also come in the form of a sign of happiness, or a foreboding sign of ill fortune."
spells,Intuition,Awareness,3,Personal,Immediate,false,false,"You can ask a short yes or no question about anything in the world. The GM must answer yes, no, or maybe. They cannot lie. The GM can choose maybe even if they know the answer, but believes that the true answer may disrupt the game."
spells,Telepathy,Awareness,3,Short,Stretch,false,false,"You can read the surface thoughts of another person for a few minutes. Digging deeper for memories is harder and requires power level 2 or even more, depending on how fresh the memory is. You can also use this spell to send your own thoughts to another person or inflict stress equal to the power level. This spell has no effect on monsters."
spells,Cleanse Spirit,Healing,1,Engaged,Immediate,false,false,"You can focus the forces of nature to enlighten dark souls. You immediately heal an amount of Resolve equal to the power level. You cannot heal yourself."
spells,Healing Hands,Healing,1,Engaged,Immediate,false,false,"You can heal an amount of Health by laying your hands on the wounded. You immediately heal a number of points equal to the power level. This spell does not affect critical injuries. You cannot heal yourself."
spells,Nature's Cure,Healing,1,Engaged,Immediate,false,false,"You heal a sickness or cure the effects of poison in yourself or someone else. The power level of your spell must be equal to or higher than the virulence or toxicity rating divided by 3 (rounded down)."
spells,Banish Demon,Healing,2,Short,Immediate,false,false,"This spell inflicts damage equal to the power level on a demon. This includes demons that do not suffer damage from physical weapons."
spells,Mend Wounds,Healing,2,Engaged,Immediate,false,false,"You can use magic to heal broken bones and bleeding wounds. This spell immediately heals a critical injury. A lethal injury requires power level 2. Lost limbs cannot be regrown."
spells,Purge Undead,Healing,2,Short,Immediate,false,false,"This spell inflicts damage equal to the Power Level on one undead target."
spells,Resurrection,Healing,3,Engaged,Immediate,false,false,"You can channel nature's forces to resurrect a dead person — not as undead, but truly alive. Within the same shift requires power level 1, within a full day requires power level 2, and within a week requires power level 3. If over a week has passed the body is too decomposed. A person brought back to life loses one point of Empathy permanently."
spells,Serenity,Healing,3,Short,Immediate,false,false,"You spread harmony and serenity around you, which helps you in social conflicts. The victim of the spell will do what you want without a roll to Persuade them. The spell can only be used against living humanoids."
spells,Weathermaster,Healing,3,Extreme,Shift,false,false,"You are so in tune with the forces of nature that you can summon a drastic weather shift. A minor shift requires power level 1. Unusual weather phenomena still within the season require power level 2. Completely unnatural weather requires power level 3."
spells,Animal Speech,Shapeshifting,1,Short,Stretch,false,false,"This spell allows you to speak with a mammal. You can ask a number of questions equal to the power level of the spell. The animal can tell you what it has seen, heard, or smelled — but they do not perceive the world as humanoids do. The main advantage is that they never lie."
spells,Cat's Paw,Shapeshifting,1,Personal,Immediate,false,false,"You can meld your mind with the spirit of the cat and move without a sound. You can cast this spell instead of rolling Stealth, and you will succeed automatically. Each power level counts as one success."
spells,Hawk's Eye,Shapeshifting,1,Extreme,Stretch,false,false,"You can meld your mind with that of a hawk and gain its inhuman sight. You can see the details of anything within Extreme range, everything from horizon to horizon. You see all details and can identify specific people."
spells,Beastmaster,Shapeshifting,2,Short,Stretch,false,false,"You can bend animals, both wild and tame, to your will. The animal can break off an attack, track down an enemy, deliver a message, or even attack your opponents. You cannot control an animal with a Strength higher than twice the power level. You can only control one animal at a time. This spell cannot be used against monsters."
spells,Bear's Claw,Shapeshifting,2,Engaged,Immediate,false,false,"You can strike your enemy with the force of a great bear. You hit automatically and cause damage equal to the power level. The attack cannot be parried or dodged, but armor has normal effect."
spells,Deer's Dash,Shapeshifting,2,Personal,Immediate,false,false,"You can run with the speed of a deer for a short distance. This spell allows you to move as an animal with a positive modifier to the Mobility roll equal to the power level. Casting this spell does not count as an action in itself."
spells,Animal Form,Shapeshifting,3,Personal,Immediate,false,false,"You can shapeshift completely and take the form of an animal. You cannot choose an animal with a Strength higher than twice the power level. You get the Strength and Agility of the animal while in animal form, but your Wits and Empathy drop to 1 each. You also get access to the animal's natural attacks. Shifting back requires casting the spell again."
spells,Primal Soul,Shapeshifting,3,Long,Stretch,false,false,"You can awaken primal emotions in the minds of others. The power level must be equal to or higher than the victim's current Wits score. You can bring out rage, laziness, or timidity. If you want to affect a crowd more generally, a small crowd requires power level 2, a big crowd requires 3, and a whole village 4."
spells,Firewalker,Blood Magic,1,Personal,Shift,false,false,"You can make yourself completely immune to heat and cold. You take no damage from fire."
spells,Stir Blood,Blood Magic,1,Short,Stretch,false,false,"Using this spell, you stir your victim's blood and bring out strong emotions such as lust, fear, or rage. The victim must give in to these emotions in some way — exactly how depends on the individual and the situation. The spell has no effect in combat and cannot be used against monsters."
spells,Bind Demon,Blood Magic,2,Short,Shift,false,false,"This spell allows you to bend demonic creatures from other worlds to your will. The demon can resist the spell with a successful Insight roll with a negative modifier equal to the power level. Demons rarely react well to attempts to Bind them, so be ready for any consequences."
spells,Blood Bond,Blood Magic,2,Engaged,Immediate,false,false,"You can transfer blood and the inherent energy of it to or from another being of the same kind as yourself. You can transfer a number of Health or Resolve points equal to the power level. An unwilling victim can make an Insight roll with a negative modifier equal to the power level to resist. The spell can get a broken person up on their feet but has no effect on critical injuries."
spells,Immolate,Blood Magic,2,Short,Immediate,false,false,"You can heat up your victim's blood to the point where they literally burst into flames. The spell inflicts damage equal to the power level and then sets the target on fire with an intensity equal to twice the power level. Armor does not protect against this spell."
spells,Blood Channeling,Blood Magic,3,Personal,Round,false,false,"This spell concentrates the energy of the sorcerer's own blood. You gain a number of Willpower Points equal to twice the power level. The effect is temporary — your newly won Willpower Points must be used in the next round, or they are lost."
spells,Blood Curse,Blood Magic,3,Unlimited,One shift per power level,true,false,"You place a blood curse on your victim, who must be a living humanoid. You must know your victim's name and know where they are, at least approximately. The victim suffers damage equal to the power level and takes one point of damage per shift until the full effect is reached. During this time, no natural healing is possible."
spells,Befoul,Death Magic,1,Short,Immediate,false,false,"You can let death and decay seep into food. You can Befoul a ration of food per power level making it unfit for consumption. The food turns into a poison with a toxicity equal to the power level multiplied by 3."
spells,Chill of the Grave,Death Magic,1,Engaged,One round per power level,false,false,"You let the unrelenting cold of death seep into your victim. The victim becomes cold, immediately suffering one point of damage and one point of stress as a result. The victim continues to suffer one point of damage and stress each round until the total amount equals the power level. The spell has no effect on monsters."
spells,Contaminate,Death Magic,1,Engaged,Immediate,false,false,"You can create horrid contagions with which to torment your enemies. Your victim, who must be a living humanoid, contracts a disease with a virulence equal to the power level multiplied by 3."
spells,Ghoulish Glare,Death Magic,1,Medium,Immediate,false,false,"Your murky appearance instills unease and fear in your victim. They suffer stress equal to the power level. This spell can only be used against living humanoids."
spells,Hand of Doom,Death Magic,2,Short,Immediate,false,false,"You can claw your way to your victim's heart magically and squeeze the life from them. This spell inflicts damage equal to the power level. You can extend the range to Medium if you spend an extra Willpower Point. This spell can only be used against living humanoids."
spells,Raise the Dead,Death Magic,2,Short,Shift,true,false,"The main task of Death Magic is awakening the dead. In its simplest form this ritual reanimates one dead humanoid or animal as a rank 1 undead. For each power level beyond the first you can reanimate one more undead or increase the rank of all undead raised by one."
spells,Speak to the Dead,Death Magic,2,Short,Stretch,false,false,"You can speak with the dead. You must be within Short range of where the victim died or lies buried and must know the victim's name. You can speak with the dead for a few minutes and ask a few simple questions. This spell cannot be used against undead."
spells,Bind Soul,Death Magic,3,Engaged,Varies,true,false,"Through this ritual you can extract a victim's soul from his blood and capture it in a vessel such as a mirror, jewel, or weapon. The victim must make an Insight roll with a negative modification equal to the power level. Making the effect permanent requires power level 3. The victim can be freed by a Dispel Magic."
spells,Steal Life,Death Magic,3,Short,Immediate,true,false,"You can suck the life from living plants and animals around you. You gain a number of Willpower Points equal to twice the power level. All people, animals, and plants within Short range die when you perform the ritual. Cannot be used indoors or on a rocky mountainside."
spells,Terror,Death Magic,3,Medium,Immediate,false,false,"You can instill a horrible, unbearable fear in your victim, whose mind is flooded by images of their own aging and death. The victim suffers stress equal to the power level. This spell only works on living humanoids."
spells,Combustion,Elementalism,1,Short,Immediate,false,false,"Manipulating the element of fire, you make any non-living object suddenly burst into flame. If used against a held item, the target must drop the item or suffer one point of damage. If used against clothes or armor, the victim suffers the effects of fire with an intensity equal to twice the power level."
spells,Sunder,Elementalism,1,Engaged,Immediate,false,false,"Breaking the invisible bonds holding physical matter together, you split apart any object. Using this spell you can break any non-living and non-magical object. For each power level, the item loses one point of gear bonus or suffers ten points of damage. Armor has no effect."
spells,Suffocate,Elementalism,1,Short,One round per power level,false,false,"Commanding the element of wind, you suffocate a victim by literally pulling the air out of their lungs. The target suffers one point of damage at the start of each subsequent round for a number of rounds equal to the power level. Armor has no effect. While under this effect the victim cannot talk or scream."
spells,Water Breathing,Elementalism,1,Engaged,Stretch,false,false,"You grant yourself or a creature you touch the ability to breathe water as if it was air, eliminating the danger of drowning. Each power level increases the number of creatures you can affect by one or increases the duration by one stretch."
spells,Heat of the Moment,Elementalism,2,Short,Immediate,false,false,"By calling forth the element of fire in the heart of another living being, you cause your victim to be overcome by anger and rage. Make an opposed roll with a number of base dice equal to twice the power level against the Insight skill of the victim. If you win, the victim goes berserk and must immediately attack everyone in Short range and keep fighting until broken or all enemies have fled."
